Year,Period,Estimate,Standard Error
2003,Annual,2.58,0.019
2004,Annual,2.65,0.026
2005,Annual,2.58,0.03
2006,Annual,2.58,0.029
2007,Annual,2.62,0.029
2008,Annual,2.77,0.032
2009,Annual,2.82,0.033
2010,Annual,2.73,0.031
2011,Annual,2.75,0.029
2012,Annual,2.83,0.03
2013,Annual,2.77,0.032
2014,Annual,2.82,0.041
2015,Annual,2.78,0.034
2016,Annual,2.73,0.035
